method,offset,mask_iou,bbox_iou
lk_mask_points,0,1.0,1.0
lk_mask_points,1,0.8300899437310532,0.8260594367980957
lk_mask_points,2,0.8111788500879276,0.830164784193039
lk_mask_points,3,0.7876881169746611,0.8199707766373953
lk_mask_points,4,0.7701151565911087,0.8105405608812968
lk_mask_points,5,0.7461541072504213,0.7797376255194346
lk_mask_points,6,0.7449390840299909,0.7855062087376913
lk_mask_points,7,0.7274969075352202,0.7753650069236755
lk_mask_points,8,0.7192550689480249,0.7748883962631226
lk_mask_points,9,0.7034042595780237,0.7839078187942505
