method,offset,mask_iou,bbox_iou
piecewise_lk,0,1.0,1.0
piecewise_lk,1,0.8340901718108831,0.8249170204003652
piecewise_lk,2,0.8111303446883884,0.8342167576154073
piecewise_lk,3,0.7870469203133952,0.815921934445699
piecewise_lk,4,0.7692518068944783,0.8236680249373118
piecewise_lk,5,0.7432243158554315,0.7939590255419413
piecewise_lk,6,0.7378918015476843,0.7960969348748524
piecewise_lk,7,0.7211843453343852,0.7822017252445221
piecewise_lk,8,0.7131822138409265,0.7720744371414184
piecewise_lk,9,0.701239001563358,0.7793797095616658
