method,offset,mask_iou,bbox_iou
lk_grabcut_wide,0,1.0,1.0
lk_grabcut_wide,1,0.6734600542226555,0.8230554918448131
lk_grabcut_wide,2,0.5582834291646,0.7872852385044098
lk_grabcut_wide,3,0.44890862580084945,0.700855040550232
lk_grabcut_wide,4,0.3521169775477217,0.5675038168827693
lk_grabcut_wide,5,0.2753601001854763,0.46469813187917075
lk_grabcut_wide,6,0.22061803284835418,0.37856549620628355
lk_grabcut_wide,7,0.1785296593131722,0.31435591330130896
lk_grabcut_wide,8,0.1613389419278199,0.2923388590415319
lk_grabcut_wide,9,0.14639319206302254,0.26310170342524847
