method,offset,mask_iou,bbox_iou
lk_color_region,0,1.0,1.0
lk_color_region,1,0.8333198988681612,0.8556203424930573
lk_color_region,2,0.8185990257129245,0.8735875248908996
lk_color_region,3,0.7967531525173148,0.8611504971981049
lk_color_region,4,0.7937133832073479,0.8565929472446442
lk_color_region,5,0.7826538634154337,0.8572436094284057
lk_color_region,6,0.7714980423041665,0.8510953336954117
lk_color_region,7,0.7695250954096021,0.8367903570334116
lk_color_region,8,0.7622921177161872,0.8416181286176045
lk_color_region,9,0.7555486578628131,0.8434925615787506
