method,offset,mask_iou,bbox_iou
piecewise_lk,0,1.0,1.0
piecewise_lk,1,0.784389553491791,0.8208956837654113
piecewise_lk,2,0.6961959652292259,0.7922644158204396
piecewise_lk,3,0.6309741238845512,0.7498525242010753
piecewise_lk,4,0.5781938352286684,0.7284107645352681
piecewise_lk,5,0.5207253786317814,0.6797152131795883
piecewise_lk,6,0.47816091586195086,0.642814889550209
piecewise_lk,7,0.43684592279921297,0.5968478351831437
piecewise_lk,8,0.40666983935376344,0.5739814013242721
piecewise_lk,9,0.37335621131307734,0.5444035758574803
