method,non_anchor_mask_iou,non_anchor_bbox_iou,offset1_mask_iou,offset9_mask_iou,fps
improved,0.7989986689826561,0.8242813370845936,0.8282874851368928,0.8441315063841138,324.1154745542139
lk_raw,0.7570471707548639,0.7952150489445086,0.8282874851368928,0.6988774050377254,1184.3358047719469
one_way_ensemble,0.7344125549016801,0.7831742615611464,0.8289173739660388,0.6589923125811913,267.09732836126096
dis_flow,0.685128173956821,0.7548857274982664,0.8109040867938132,0.5828275605699164,1020.9404969169198
template,0.6790717951891844,0.7400027692042015,0.8108726794076764,0.5734042551420148,1145.0887300751215
farneback,0.6429381531409674,0.6947245044702733,0.7781190080187023,0.5550440235392846,664.9248082550894
