method,offset,mask_iou,bbox_iou
lk_edge_patch_filter_strict,0,1.0,1.0
lk_edge_patch_filter_strict,1,0.83617569033768,0.8341689030329387
lk_edge_patch_filter_strict,2,0.8126301057841391,0.8315416892369588
lk_edge_patch_filter_strict,3,0.7879775035572327,0.81640605032444
lk_edge_patch_filter_strict,4,0.7724282079560572,0.8125911722580592
lk_edge_patch_filter_strict,5,0.7474516871739886,0.786264016230901
lk_edge_patch_filter_strict,6,0.7426924955968233,0.7730960190296173
lk_edge_patch_filter_strict,7,0.7311553621119635,0.7766078968842824
lk_edge_patch_filter_strict,8,0.7159293814084201,0.7480275432268778
lk_edge_patch_filter_strict,9,0.7076078376673558,0.7357410291830698
