method,offset,mask_iou,bbox_iou
lk_grabcut_conservative,0,1.0,1.0
lk_grabcut_conservative,1,0.8272625980770331,0.8256747384866079
lk_grabcut_conservative,2,0.8049938985595683,0.8300593892733256
lk_grabcut_conservative,3,0.7838760842700583,0.8138089338938396
lk_grabcut_conservative,4,0.7648844100597869,0.8099165280659993
lk_grabcut_conservative,5,0.7436994113082654,0.7745481510957082
lk_grabcut_conservative,6,0.734079819032781,0.7782022555669149
lk_grabcut_conservative,7,0.7175806880015767,0.7625706275304158
lk_grabcut_conservative,8,0.7083573760340368,0.7659520894289017
lk_grabcut_conservative,9,0.6954133646235495,0.7645375370979309
