method,offset,mask_iou,bbox_iou
dis_mask_warp,0,1.0,1.0
dis_mask_warp,1,0.8092836569565046,0.8187050332625707
dis_mask_warp,2,0.7659334715038866,0.7919145743052165
dis_mask_warp,3,0.731063952849362,0.7705422560373942
dis_mask_warp,4,0.6960438361550925,0.7424392908811569
dis_mask_warp,5,0.6697810515351011,0.7424532274405161
dis_mask_warp,6,0.6500381425231485,0.7042654673258464
dis_mask_warp,7,0.6317632276912931,0.6904021372397741
dis_mask_warp,8,0.6179634966146336,0.6699829200903574
dis_mask_warp,9,0.6073099630571147,0.6578360209862392
