method,offset,mask_iou,bbox_iou
lk_edge_patch_region_strict,0,1.0,1.0
lk_edge_patch_region_strict,1,0.8322875691426155,0.8384025911490123
lk_edge_patch_region_strict,2,0.8103661779217503,0.8320415139198303
lk_edge_patch_region_strict,3,0.7805741200419064,0.8147199660539627
lk_edge_patch_region_strict,4,0.7613803316525739,0.8054440021514893
lk_edge_patch_region_strict,5,0.7404925033193102,0.7881574968496958
lk_edge_patch_region_strict,6,0.7310518631257061,0.7715455273787181
lk_edge_patch_region_strict,7,0.7169729505960175,0.7746038983265559
lk_edge_patch_region_strict,8,0.7047623160190412,0.7509323130051295
lk_edge_patch_region_strict,9,0.694804431378085,0.7395727574825287
