frame_id,offset,source,mask_iou,bbox_iou,image
220,0,anchor,1.000000,1.000000,frame_0220_offset_0.png
221,1,lk_raw,0.735071,0.885402,frame_0221_offset_1.png
222,2,lk_raw,0.764706,0.805508,frame_0222_offset_2.png
223,3,lk_raw,0.739594,0.742072,frame_0223_offset_3.png
224,4,lk_raw,0.691040,0.776053,frame_0224_offset_4.png
225,5,lk_raw,0.681398,0.741855,frame_0225_offset_5.png
226,6,lk_raw,0.705155,0.788591,frame_0226_offset_6.png
227,7,lk_raw,0.722793,0.766284,frame_0227_offset_7.png
228,8,lk_raw,0.628627,0.725311,frame_0228_offset_8.png
229,9,lk_raw,0.644906,0.809932,frame_0229_offset_9.png
230,10,lk_raw,0.645875,0.743990,frame_0230_offset_10.png
231,11,lk_raw,0.693089,0.900262,frame_0231_offset_11.png
232,12,lk_raw,0.644467,0.743990,frame_0232_offset_12.png
233,13,lk_raw,0.667353,0.740008,frame_0233_offset_13.png
234,14,lk_raw,0.684817,0.916364,frame_0234_offset_14.png
235,15,lk_raw,0.647120,0.821662,frame_0235_offset_15.png
236,16,lk_raw,0.633673,0.745392,frame_0236_offset_16.png
237,17,lk_raw,0.591322,0.772568,frame_0237_offset_17.png
238,18,lk_raw,0.644050,0.768192,frame_0238_offset_18.png
239,19,lk_raw,0.621651,0.754256,frame_0239_offset_19.png
240,0,anchor,1.000000,1.000000,frame_0240_offset_0.png
241,1,lk_raw,0.690594,0.781726,frame_0241_offset_1.png
242,2,lk_raw,0.754993,0.833857,frame_0242_offset_2.png
243,3,lk_raw,0.730366,0.814465,frame_0243_offset_3.png
244,4,lk_raw,0.711230,0.790774,frame_0244_offset_4.png
245,5,lk_raw,0.706112,0.809026,frame_0245_offset_5.png
246,6,lk_raw,0.694915,0.745455,frame_0246_offset_6.png
247,7,lk_raw,0.653453,0.814815,frame_0247_offset_7.png
248,8,lk_raw,0.681046,0.802279,frame_0248_offset_8.png
249,9,lk_raw,0.661823,0.720000,frame_0249_offset_9.png
250,10,lk_raw,0.638773,0.746361,frame_0250_offset_10.png
251,11,lk_raw,0.604716,0.677686,frame_0251_offset_11.png
252,12,lk_raw,0.563202,0.644144,frame_0252_offset_12.png
253,13,lk_raw,0.522255,0.577111,frame_0253_offset_13.png
254,14,lk_raw,0.478645,0.594340,frame_0254_offset_14.png
255,15,lk_raw,0.510903,0.500000,frame_0255_offset_15.png
256,16,lk_raw,0.502222,0.581275,frame_0256_offset_16.png
257,17,lk_raw,0.511848,0.522727,frame_0257_offset_17.png
258,18,lk_raw,0.495370,0.563995,frame_0258_offset_18.png
