method,offset,mask_iou,bbox_iou
piecewise_conf_clean_strict_lk,0,1.0,1.0
piecewise_conf_clean_strict_lk,1,0.8137383092319391,0.8171301464239756
piecewise_conf_clean_strict_lk,2,0.7782725805109859,0.8031486868858337
piecewise_conf_clean_strict_lk,3,0.7569813063204168,0.7895601034164429
piecewise_conf_clean_strict_lk,4,0.738383380050266,0.790092937151591
piecewise_conf_clean_strict_lk,5,0.7169585292116895,0.7745997200409571
piecewise_conf_clean_strict_lk,6,0.7112443544926107,0.7740265766779582
piecewise_conf_clean_strict_lk,7,0.701979769263551,0.767832268277804
piecewise_conf_clean_strict_lk,8,0.6822023205514506,0.7421508769194285
piecewise_conf_clean_strict_lk,9,0.6719122151799245,0.7466017643610636
