method,offset,mask_iou,bbox_iou
dis_mask_warp,0,1.0,1.0
dis_mask_warp,1,0.7847089103925474,0.8381470243136088
dis_mask_warp,2,0.6804119224783075,0.7858380635579427
dis_mask_warp,3,0.5986505753117609,0.7196503718694051
dis_mask_warp,4,0.5394066773192673,0.6792132049798966
dis_mask_warp,5,0.476383518306752,0.6260329157114028
dis_mask_warp,6,0.43098449518177856,0.5794033418099086
dis_mask_warp,7,0.38689653965819015,0.529265237847964
dis_mask_warp,8,0.35180115536935247,0.49390115439891813
dis_mask_warp,9,0.3167507715808931,0.4486909707387288
